sentimen,comment
1,Kami siap laksanakan Instruksi pak
1,Siap melaksanakan intruksi pak
1,Siap dukung dan sukseskan
1,Langkah 3M ini sudah sukses di Bali memutus penyebaran covid pak presiden
1,Siap amankan seluruh kebijakan kementerian Desa PDTT
1,Siap utk di sosialisasikan ke setiap TPP yg ada di wilayah kabupaten Boltim
1,Mendukung kebijakan Gus Menteri dalam upaya pencapaian SDGs Desa 3 yaitu Desa Sehat dan Sejahtera
1,Mari bersama cegah penyebaran covid-19
1,Mari kita sukseskan ppkm di masyarakat
1,Siap kawal dan amankan kebijakan kemendes palaksanaan PPKM untuk kemajuan dan kesejahteraan masyarakat desa
1,Semoga pak gubernur terus diberikan kekuatan untuk lanjutkan pengabdian bagi masyarakat..... langkah yang tepat akan mendapat pahala dari Allah SWT... bila semua niat karena ibadah.…
1,Semoga bapak selalu diberi kesehatan amin....salam dari kota reog Ponorogo jawa timur bapak
1,Semangat selalu
1,Semoga berhasil...mikro lockdown
1,patuhi prokes dan terapkan 5M
1,terimakasih atas layanan vaksin untuk warga lansia  yg sangat baik dan profesional semoga  layanan profesional tetap jadi standar Pemda DKI amin
1,Sehat selalu pemimpinku
1,Semoga selalu diberikan kesehatan dan kesabaran 
1,semoga pandemi segera berakhir. Mau ikut vaksin tapi takut di suntik. he he
"1,""Makasih bu. sukses selalu"""
"1,""tetap patuhi prokes . dukung penuh"""
1,Bravo buat dokter seluruh dunia khususnya di Indonesia telah berdiri di garda terdepan
1,Aduh semoga dipercepatlah vaksin masal utk seluruh rakyat itu ya..biar agak kurang was wasnya
1,Siap komandan
1,Mari saling mengingatkan dilingkungan kita masing²
1,kami mendukung pemerintah memutuskan rantai covid 19 ditingkat keluarga untuk mendidik dan menasehati anak istri menurut prokes sebagian sop.
1,Mari saling mengingatkan dilingkungan kita masing²
"1,""Semoga pandemi cepat hilang..... perekonomian pulih"""
"1,""Moga cepat normal. sampai kapan kita semua seperti ini ya..?? Tetap pada protokol Covid. jaga sehat dan tetap SEMANGAT"""
"1,""Ingat 5M ( memakai masker. mencuci tangan pakai sabun. menjaga jarak. menjauhi kerumunan dan membatasi mobilitas).""""BERSAMA LAWAN COVID-19"""""""
1,doakan saja supaya sampai bulan maret 2022
1,Klo memang ada trend positif selama ppkm mikro kita harus bersyukur
"1,""Siap. Insya Allah tetap semangat. Pak...Terima kasih ya. Pak"""
1,Semoga covid cepat berlalu
1,Terimakasih dr Restuti Saragih infonya..Aduh..jgn bertambah lagi pasien covid di medan
1,Terima kasih info.a Bu dokter.Bravo buat dokter seluruh dunia khususnya di Indonesia telah berdiri di garda terdepan
"1,""Iya. Kakak...Aamiin YRA...Dan meskipun udah vaksin. wajib tetap prokes"""
1,Masha Allah Tabarakallah keren banget dek. Sehat dan sukses selalu sayang
1,Alhamdulillah...yang penting sehat panjang umur....punya duit banyak ya nggak apa-apa
"1,""Alhamdulillah Brunei Darussalam sudah nol covid19.somoga saudara di Indonesia bisa"""
1,Maju pak Joko Wi jangan mundur asal mundur kasihan rakyat menangis bosku
"1,""Kebijakan yg baik dan efektif gini mestinya didukung. bukan malah dinyinyirin mbak2 dan mas2. Ayo lah dukung keberlanjutan PPKM berskala mikro biar bs tekan kasus baru Covid-19"""
1,Mantap pak lanjutkan Sampai 2022
"1,""Tetap pada protokol Covid. jaga sehat dan tetap SEMANGAT"""
1,Bersama Cegah Covid
1,Indonesia BEBAS COVID 19 masyarakat SEHAT
1,Mari kita saling jaga kesehatan masing masing di manapun tempat nya
1,Sehat-sehat dan tetap semangat
1,Salut tetep semangat buat kerja keras tuk menolong sesama
"1,""Setuju banget pak.. yang penting kita saling menjaga dan saling mengingatkan. jaga kebersihan dan keamanan bersama"""
1,Salut tetep semangat buat kerja keras tuk menolong sesama
1,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/HZw0xfTZ8A
1,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/HZw0xfTZ8A
1,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/HZw0xfTZ8A
1,Kapolsek Selorejo pimmpin pelaksanaan pengawasan PPKM dan pembagian masker kepada jamaah sholat Jum'at di Masjid Al- Munir desa Sumberagung.#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/lnxiWklj7q
1,SURAT EDARAN BUPATI TENTANG PERPANJANGAN KEDUA PPKM MIKRO DAN PENGOPTIMALAN POSKO PENANGANAN CORONA VIRUS DISEASE 2019#MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #wisataMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi https://t.co/AMtVMfHKTl https://t.co/F4kYA0daff
1,pencegahan penularan Covid-19 harus dilaksanakan dr lingkungan terkecil.Realisasikan posko tanggap corona di setiap desa/kelurahan.#LawanCovid19 #PPKMMikro#1JutaVaksinasiAman https://t.co/wVsTsg4Lsx
1,PPKM Mikro Efektif Berhasil Menekan Kasus Baru Covid-19#indonesia #COVID19 #ppkmmikro #protokolkesehatan#janganlupakan5m https://t.co/1KIIwqU6cD
1,#Masker_KU_melindungi_MU#Masker_MU_melindungi_KU    Polsek Ngunut melaksanakan Penerapan PPKM MIKRO guna menumbuhkan kesadaran masyarakat tentang ProKes 5M#saluspopulisupremalexesto#polrestulungagung#pidpolsekngunut#ppkmmikro#jatimbermasker#guyubrukun https://t.co/FYvbrbQvVY
1,Bhabinkamtibmas Polsek Sumbang Desa Kedungmalang Aiptu Diya N sambangi bidan desa untuk berkoordinasi kegiatan bersama 3 pilar  observasi convid 19 di desa binaan.#Jatenglawancorona #Ikutiaturancegahcorona #ppkmmikro#Amandirumah #Dirumahaja #Adaptasikebiasaambaru https://t.co/cvxi2Udqpe
"1,""Bhabinkambmas Desa Ngasinan Aiptu Bambang ADT bersama Babinsa Serma Lusyono. Bidan Desa dan Perdes Ngasinan mengantarkan warga untuk Swab di Puskesmas Weru Kabupaten Sukoharjo.Jumat. 12/3/21#humas_poldajateng #infopolisisukoharjo#polisisukoharjo#ppkmmikro. https://t.co/vU5ABZbuMH"""
1,For your information!PPKM Mikro Efektif Berhasil Menekan Kasus Baru Covid-19#indonesia #COVID19 #ppkmmikro #protokolkesehatan https://t.co/3JTlPo1pWo
1,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/L8dTHeGOZH
1,Pam Prokes PPKM Mikro #Madiun Siapkan 14 Titik Pemeriksaan - #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi #covid19#sarscov2 #satgas #posko #forkopimda #bupati #kabupatenmadiunhttps://t.co/FliofUyFti https://t.co/3x72ATVmYa
"1,""Tim Satgas Covid-19 Desa Ngasinan Kecamatan Bulu melaksanakan Tracking kepada warga masyarakat dalam rangka Penerapan Kebijakan PPKM Mikro untuk Mencegah Penularan Covid 19.Kamis. 11/3/21@yugo_bambang #humas_poldajateng #infopolisisukoharjo#polisisukoharjo#ppkmmikro https://t.co/sTaOCjnHOJ"""
1,Klo memang ada trend positif selama ppkm mikro kita harus bersyukur
"1,""PPKM Mikro Kota Malang Perpanjangan. Razia Masker Makin Rajin. Perpanjangan PPKM mikro Kota Malang tidak menurunkan semangat aparat. Sebaliknya. petugas gabungan semakin getol menggelar operasi yustisi #PPKMmikro #kotamalanghttps://t.co/2bBwgUhrnG"""
"1,""https://t.co/sLbZJ0n3EW. #Kediri – Pemerintah Kabupaten #Kediri resmi memperpanjang kebijakan Pemberlakuan Pengetatan Kegiatan Masyarakat...#BeritaKediri #Covid19 #KabupatenKediri #PpkmMikro #SatgasCovid19KabupatenKedirihttps://t.co/vUyd4NA5R0"""
